participant_id,Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
2izcdzq6ryzzfqu95j2izcdz3dib7ysh,1,2,2,1,8,2,1,0,2,0,0,9000030,2000889,9,57.5,167.3391426,106.554188
2jgm4aoics56eqnzu62jgm4vn1ngovkg,1,7,4,1,9,0,2,0,5,0,5,9000033,2000981,4,89.8,438.8166811,372.933205
2l1c6a2kkncffx1sm1e22l1c6a228u3i,2,2,4,1,8,0,2,1,5,0,3,9000031,2000912,3,97,264.3067567,82.92437534
2m5p3ixcpjly03xs9mw2m5p3icjne8yo,2,2,4,3,9,2,1,0,2,1,5,9000021,2000602,7,67,902.9186947,73.10062573
2mq4l9y936h9rq0d0n2mq4l0d2qjlo1p,1,5,12,1,8,0,2,0,4,0,4,9000011,2000319,4,83.1,488.5110043,96.79696038
2n4nb9irf62c4cq7i04h092n4nb91svi,2,2,5,1,8,0,2,0,5,0,5,9000021,2000608,5,78.2,388.9270424,73.10062573
2o5aswtvnbs0ywiwble2o5asw77v4bfn,1,5,10,4,8,0,2,5,5,1,0,9000022,2000619,6,57,129.1527893,107.0192611
2plnecwqqnxci5712plni17yp55pi4wj,1,2,6,1,8,1,2,4,5,2,4,9000031,2000896,8,87.9,524.8764542,82.92437534
2pnlbiqxfmn4kl4lgvjcd2pnlbiqrc75,2,2,6,1,7,1,2,0,2,0,4,9000012,2000364,4,82.2,250.1756512,121.6670744
2q0hj1nwcsvt4ng2iid2q0huw2j423th,2,2,3,4,4,2,2,0,2,0,2,9000033,2000966,5,83.3,419.5143042,372.933205
2rzwzviirx4v82xme43m2rzw73hs31lc,1,5,11,1,9,0,1,0,4,0,5,9000027,2000786,10,82.9,240.109121,59.12433069
2s7nfz1v0urgp6pyrm0h2s7nzv5n1wcy,1,2,2,1,8,1,2,0,2,1,2,9000008,2000200,3,82,265.0720504,87.80214462
2stsfki72uh4n0w8l92stsf4sk2s9hv0,1,3,9,4,2,2,1,7,4,1,1,9000011,2000319,4,83.1,488.5110043,96.79696038
2tb9cf33zejfotprlj2tbd2c0wpyzjji,2,2,5,1,8,0,2,0,5,0,5,9000014,2000408,4,88.3,241.8248561,110.3108459
2ty70rza6m312uad2ty7w69d7pdd218o,2,5,11,4,7,2,2,0,4,0,1,9000020,2000592,7,85.7,622.7552683,144.3589814
2u1ozmf5d57iom59ex2u1oz3s9l6kici,1,9,9,2,8,0,1,0,4,0,0,9000010,2000304,9,95.9,282.676841,92.56137265
2ub1ryu6qw1s5p43l2ubrxl8j4ctg9vl,1,12,11,1,9,0,2,0,4,0,4,9000007,2000179,7,55,278.7920197,161.7785752
2x90ekyoeuok7fg302x90ekdobb4mjge,1,2,5,4,9,2,2,0,4,0,4,9000007,2000182,4,51.4,578.5387154,161.7785752
2y0ohiludtmjn0egvqw2y0ohkai860gb,0,1,5,4,4,2,0,9,2,1,0,9000033,2000966,6,83.3,419.5143042,372.933205
2yz8fv2akh38q0shj2yz8f5cuta26b0g,2,2,5,1,9,0,2,0,5,0,5,9000007,2000180,7,70.4,204.7044497,161.7785752
301igte6wbazk52v9a301ig5ymlpo2bv,2,5,12,1,9,1,2,0,4,0,0,9000003,2000056,9,83.7,410.3327899,71.52628694
30zxtkk0iyhqx930074ykwky0t54tyqd,1,2,3,4,8,0,2,0,2,0,4,9000010,2000305,6,92.3,794.3239035,92.56137265
3109woav6ke1fm310popi60kbe11mwu6,1,2,8,2,4,0,1,0,1,1,4,9000007,2000186,6,57.7,235.5808183,161.7785752
33dojz823k8u9dq33doja8mvhaxjrc04,2,8,2,3,4,2,2,9,6,6,0,9000014,2000428,3,79.8,295.7323768,110.3108459
34eqzhp3nk7j9daeoh34eqz8l5u9i9h5,1,3,5,3,6,2,1,0,2,0,2,9000014,2000412,4,77,308.6802522,110.3108459
34volj3ubf6u7b3w5pw34volj3msztuj,1,8,10,4,4,2,1,7,3,1,1,9000023,2000670,2,94.7,199.5284734,93.94595065
357ik9e05g7pp5r84357ik9eot2ipr1o,2,2,3,3,6,0,1,0,2,0,5,9000030,2000891,5,48.2,272.7341456,106.554188
36xqx7lqkjw8g13bck2u36xqx7lqv4ye,1,2,5,3,6,2,2,1,0,1,4,9000033,2000974,4,39.8,309.1202122,372.933205
36zvlh00ezmg63hb36zvlh0l3aaenbme,1,2,5,3,7,2,2,0,2,0,5,9000031,2000913,5,93.9,317.4617832,82.92437534
37efl46dhthn37qek807ola5udlohhv7,1,3,3,2,7,2,2,4,2,3,2,9000030,2000874,2,79.1,129.0566739,106.554188
3869ccnr1cdf4ne6k386jzvjhzkyfbhd,1,8,8,4,4,2,1,8,1,4,2,9000003,2000035,6,71.9,304.440093,71.52628694
38nk0qqvlfk48s38nktgrutbrlrxgvin,1,8,6,1,9,0,2,0,3,1,4,9000028,2000818,2,77.7,166.8381638,112.8953553
390ys90l8n5athq35mfb390ys9jh141r,1,2,4,2,7,1,2,8,6,1,2,9000005,2000103,3,74.2,421.5310456,89.33622132
39dibsvdj283a639eezi3mxtg9wvy2eq,2,5,11,4,6,2,0,9,3,6,1,9000023,2000669,4,90.2,273.9067414,93.94595065
39g42c3rdolbtbq39g429ci1xxhl3455,2,2,7,3,7,2,2,0,2,0,0,9000005,2000099,7,91,823.9471287,89.33622132
3a5syutechox9m7az21b23a5k2gjaz4h,1,2,3,3,7,0,2,1,2,0,3,9000019,2000576,3,19.8,312.8679601,127.4397297
3a7okx9dziywgvz3a7o50iuoyrtq1o4s,1,2,4,3,8,0,2,0,2,0,5,9000030,2000878,2,42.2,285.2304662,106.554188
3ad7ytubf83bgdz3a3ad7yffe3gwo7bt,1,3,10,1,9,0,2,0,4,1,3,9000003,2000035,6,71.9,304.440093,71.52628694
3ahd14yvxjupu9ug3ahd14y94kt737h9,2,3,9,1,6,2,2,0,2,0,4,9000013,2000385,5,92,280.7112921,113.5974039
3aih52ylqnpxa1gm8kdt03aih5xx8boh,0,3,5,1,5,2,2,8,6,4,1,9000019,2000556,2,82,264.3229675,127.4397297
3bizbpbi9l8pobn63bizcu28onen1e9o,1,2,3,2,7,2,2,2,4,0,4,9000031,2000900,4,96,416.7715212,82.92437534
3c5m8xg6nvw6itq3c5opk92gw5hwiiuo,1,2,4,1,8,0,2,0,2,0,5,9000022,2000636,6,90.6,407.0761979,107.0192611
3c6gx8enhuf3c6gyonx6fdg1817wxhgy,2,3,3,3,4,2,0,9,2,1,3,9000014,2000421,3,76.6,186.3648458,110.3108459
3doi1xul9sik41rnu0rs3doi1tdfo4zd,2,2,3,3,8,0,1,4,2,3,2,9000024,2000692,10,79.5,463.3952525,64.7356604
3dvtg7j3bnf0ok3dvhvrpxre918nfk4x,1,7,3,2,6,2,1,0,4,0,2,9000009,2000269,9,90.7,209.4413019,81.460788
3eci2odjeopa525u2v2i3eci5xisr0ai,1,3,7,2,6,2,2,0,0,0,2,9000010,2000283,3,96.6,538.7700054,92.56137265
3g9eap6rcdcc4qwqfs3g45vfycp0fq4e,1,2,10,1,8,2,2,0,4,0,3,9000006,2000161,10,95.6,422.6251898,69.34413948
3ggpbss95ubwqol2qnt53ggpb702gzey,1,3,5,4,4,2,2,4,2,3,1,9000019,2000560,3,76.1,415.0243172,127.4397297
