#,Gender,Age_range,Household_type,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group,fuel-security_score,Work_Schedule,Income,lad_code,msoa_code,imd_decile,crime_rate_per_1000,green_space_pct,park_distance_m
kjq3qewobmw2u217e37tm9kjq3qi8yhk,Male,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Renting from private landlord,0,Working full-time,"More than £58,900 p.a.",E09000028,E02000815,4,112.89535525791995,41.5,100.44281440259726
kkds1bmu1otg6s8m2j2anl4kkds1bm4h,Male,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,8,2,2,0,Owning the house outright,0,Working full-time,"More than £58,900 p.a.",E09000018,E02000550,4,85.64933258699376,76.9,317.4000185960261
ko7jpb7rmd9lqj58ko7jpdsw0u4vxnjx,Male,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,7,2,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000018,E02000540,5,85.64933258699376,78.10000000000001,379.6208808995427
ks7meko28fg1y4z1uks7me9ydv290lti,Male,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000015,E02000455,6,61.229398357595265,60.699999999999996,581.1251651350204
ks9l7kxg2atwwzznyqks9l7kxybu1q6t,Female,35 to 39,Living on my own WITH children under 18,5,0,2,0,Living in rented accommodation arranged by the Local Authority,1,UnemployedRetired,"Less than £14,900 p.a.",E09000009,E02000261,4,81.46078799553669,76.9,222.59719681313084
ksr6a4886nhxxlksr6mhgd0bo6bkdid3,Female,25 to 29,Living with partner/ spouse/ older relative WITH children under 18,8,2,2,0,Renting from private landlord,1,Working full-time,"£24,301- £37,900 p.a.",E09000029,E02000852,9,64.10579524758313,94.3,454.37736494444397
kvgbke3xjle766dspskvgbke3jmgne3m,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,8,1,1,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000022,E02000639,2,107.01926113040733,63.5,350.3166793292681
ky8vr2c6ikjmg4545j0eaky8vroio8uc,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,8,1,2,0,Renting from private landlord,0,Working part-time,"More than £58,900 p.a.",E09000028,E02000835,6,112.89535525791995,78,243.88688451401808
l1cejteiqaumzll1ce60dbnn9qrvrsct,Male,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,7,2,2,0,Owning the house outright,1,Working full-time,"More than £58,900 p.a.",E09000011,E02000339,5,96.79696038426883,87.2,735.872048632478
l1rqm3sda8b2zw3ds54lul1rqm3qjksa,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,10,1,1,0,Renting from private landlord,0,Not working- looking after house/ children,Prefer not to say,E09000008,E02000216,8,87.80214462188941,65.60000000000001,445.4240358865244
l4whzan4dvt2t60kc1l4wecxfk845gnv,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Owning the house outright,0,Working part-timeNot working- looking after house/ children,"More than £58,900 p.a.",E09000028,E02000830,6,112.89535525791995,84.3,209.58981452631517
l55nx61dsvxv4fvy7r1l55ycnqkjpmow,Female,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000028,E02000810,3,112.89535525791995,67.2,213.7486822868523
l8tub47exsgfor4snlb5l8tub47pzwlw,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000025,E02000714,2,102.94920578921285,90.8,231.1314766699023
la9qtgjnhyiyjxrwiila9qtgoaaw3ayj,Male,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Owning the house outright,0,Working full-time,"More than £58,900 p.a.",E09000004,E02000077,9,64.46313682120169,93.8,372.4357115806446
lau0ba8tpwimst58ctlau0ba84vnbhv5,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,7,0,2,0,Buying the house on a mortgage,0,Working part-time,"£37,901- £58,900 p.a.",E09000029,E02000852,7,64.10579524758313,94.3,454.37736494444397
lesu12amdhhjytec70aglesu11onbksu,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Renting from private landlord,0,Working part-time,"More than £58,900 p.a.",E09000003,E02000035,5,71.52628693518058,71.89999999999999,304.4400930232558
lg9p73cckvaswllg9pqlycmpo47jrein,Female,50 to 54,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000006,E02000141,7,69.34413947690096,87.6,296.20505518803367
liaeocfej7tmk38aydxliaeocfe0l0qx,Female,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,9,2,2,0,Buying the house on a mortgage,0,Not working- looking after house/ children,"More than £58,900 p.a.",E09000030,E02000893,7,106.55418799829552,64.4,181.60337872173866
ll5t56gepdbw8oqll5t0u4gznsso0ldu,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,7,0,1,0,Buying the house on a mortgage,0,Not working- looking after house/ children,"More than £58,900 p.a.",E09000026,E02006925,8,78.28836492624754,93.89999999999999,331.80679005851016
lmdubzfxp1rjr66lmdu2unsi60adcvaj,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,7,0,2,0,Buying the house on a mortgage,0,Maternity leave,"More than £58,900 p.a.",E09000013,E02000391,3,113.59740385755717,85.6,179.89128972946824
lppygjbe5xh0jlpm4egftfxur407dm4e,Male,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,9,2,2,0,Buying the house on a mortgage,1,Working full-time,"£37,901- £58,900 p.a.",E09000031,E02000906,6,82.92437534381423,95.1,341.0629633644858
lseucx1lrf5ylmju0mlseucvhh5bd6g9,Non binary/ other,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,7,2,2,0,Owning the house outright,0,Working part-time,Prefer not to say,E09000019,E02000562,4,127.43972968296039,81.8,234.91550424113433
lu80n059lhnxqlvlu80n0ty2wgfqo3ye,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,8,2,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000022,E02000643,8,107.01926113040733,88.1,442.0001257727268
m1vxt30qw453aa5nq19zqzm1vxt30qt0,Female,50 to 54,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Owning the house outright,0,Working part-time,Prefer not to say,E09000008,E02000236,9,87.80214462188941,95.3,805.2251128461526
m91mkuge1fqibrnplqnsdm91mkyk5b4i,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,7,2,2,0,Buying the house on a mortgage,0,Not working- looking after house/ children,Prefer not to say,E09000003,E02000030,5,71.52628693518058,91.10000000000001,756.3947619047619
m9k04q372380bs1pbsjm9k0lq4kjofqk,Female,50 to 54,Living with partner/ spouse/ older relative WITH children under 18,6,2,2,0,Buying the house on a mortgage,0,Working full-time,Prefer not to say,E09000019,E02000568,3,127.43972968296039,61.1,154.7604152190472
m9n55uh70ju61sm9n55520q1n827w4hq,Female,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Renting from private landlord,0,Not working- looking after house/ children,Prefer not to say,E09000015,E02000434,9,61.229398357595265,77.3,242.91180308018843
mfiuhus2gcm4wq5euyurmfiuh4pdxgck,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,7,1,2,0,Renting from private landlord,0,Working full-time,"More than £58,900 p.a.",E09000021,E02000615,8,73.1006257318934,97,1441.555180074623
mfrg6vlqhj0giqaubfkckmfrg6vwekxv,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Renting from private landlord,1,UnemployedNot working- looking after house/ children,"£14,901- £24,300 p.a.",E09000023,E02000683,2,93.94595064593693,90.5,266.8046029576267
mitfy7401oej81o4mitf5z9tjbsh0557,Female,25 to 29,Living with partner/ spouse/ older relative WITH children under 18,8,1,2,0,Renting from private landlord,0,Not working- looking after house/ children,Prefer not to say,E09000003,E02000053,5,71.52628693518058,71.6,482.4405374982207
mkg88tw1llfm42mub9vu9mzmkg88twwp,Female,50 to 54,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Buying the house on a mortgage,0,Working full-time,"£37,901- £58,900 p.a.",E09000032,E02000942,8,75.0126002708299,91.60000000000001,475.5271172023805
mm0ygnf2cdc4rjv8dmm0ygnqd7gx8rhd,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,8,2,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000009,E02000270,4,81.46078799553669,74.4,203.80650107272675
mxyka22dfpfng9v0e1wmxyka2ztw9lzb,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,9,1,1,0,,0,Not working- looking after house/ children,Prefer not to say,E09000006,E02000152,5,69.34413947690096,86.1,464.65734027343706
n0n6w8ayu1zaktuxp2h9n0n6w8v0ewqi,Male,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000028,E02000837,9,112.89535525791995,95.3,243.80262290604
n4ht6eq4lo12x2di4in4ht1bj87lryqc,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,9,1,1,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000006,E02000142,8,69.34413947690096,83.89999999999999,519.9973772804873
naknj4te0wkbcnakngjf7ps1z0jgu88e,Male,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000019,E02000555,2,127.43972968296039,86.5,219.20242182051246
ncizzpckmed32byrwkeo4h5nciz7lfxa,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000029,E02000846,8,64.10579524758313,95.8,335.5428836465513
nghr7tdcz1j5rp4q6acynghrzpitkyo3,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000011,E02000340,5,96.79696038426883,80.9,516.2722582261902
ngq1yb3jrng2ltr6ubb4kglnig3ojv2l,Female,50 to 54,Living with partner/ spouse/ older relative WITH children under 18,5,2,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000022,E02000645,6,107.01926113040733,84.3,449.55035270909025
nimcqeh7o7wjkqdfeqnimcqegoqr3snb,Female,50 to 54,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Owning the house outright,0,Working part-time,Prefer not to say,E09000003,E02000043,9,71.52628693518058,96.6,454.2983687943262
nk3xa3qqn5scsgknk3xa0qzfcx5r1k2y,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,9,0,1,0,Buying the house on a mortgage,0,Working full-time,Prefer not to say,E09000004,E02000073,10,64.46313682120169,98.1,405.64123525454517
nmd388g1qlffcblzo7sxnmd38v7ycad9,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,8,0,1,0,Buying the house on a mortgage,1,Working full-time,Prefer not to say,E09000027,E02000805,9,59.12433069454052,82.89999999999999,317.4592346946897
np6qncurkqvio7v5s9np6qnpp8knwda2,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,0,Maternity leave - unpaid,"£37,901- £58,900 p.a.",E09000031,E02000910,3,82.92437534381423,78.2,405.58892635135106
npn71qz05iwe9xcwtvtzhnpn7102ost0,Male,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,6,2,2,0,Living in rented accommodation arranged by the Local Authority,0,Working full-time,"£14,901- £24,300 p.a.",E09000007,E02000184,3,161.7785752076001,43.9,220.19488645771096
npsudm39cz7741rhkat1zmknpsudm391,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,7,0,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000003,E02000035,7,71.52628693518058,71.89999999999999,304.4400930232558
nt4q2e659x98k0c6p1pnt4q2eay73q2z,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000006,E02000141,7,69.34413947690096,87.6,296.20505518803367
nuq89c7mdfp4puiwn152nuq895los659,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,6,2,1,0,Living in rented accommodation from Housing Association,0,Working part-time,Prefer not to say,E09000025,E02000746,3,102.94920578921285,67,441.4519395144224
