Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m
5,1,5,1,1,8,2,3,5,09000015,02000453,7,81.5,971.8237913636326
2,4,7,2,1,9,7,6,1,09000011,02000317,3,65.4,359.261418986577
11,4,7,2,2,4,1,1,2,09000032,02000933,9,86,562.9502549073165
9,1,8,2,2,0,1,3,1,09000007,02000167,10,76.6,391.614104546099
4,3,7,1,1,0,6,1,0,09000019,02000575,4,30.599999999999998,175.6828659606295
2,3,7,1,1,0,2,1,5,09000007,02000191,6,41.699999999999996,461.1116670987422
5,4,9,1,1,0,2,0,4,09000028,02000823,4,70.6,150.37219947183058
3,3,5,2,1,1,2,1,3,09000019,02000569,7,72.8,192.12849821774137
2,1,3,2,1,9,2,6,1,09000012,02000355,3,90.5,330.4398557586202
3,1,8,1,1,7,2,1,2,09000025,02000719,4,86,285.9620553749997
10,4,9,0,1,0,3,1,2,09000008,02000210,5,91.7,315.5258907226887
4,1,7,2,1,0,2,0,3,09000007,02000178,4,83.3,313.49911366423294
10,4,10,2,2,0,2,0,3,09000032,02000924,5,47.8,315.316681935279
5,4,7,2,0,8,2,4,2,09000023,02000672,4,78.9,315.20616644252834
6,1,7,2,1,0,5,0,5,09000031,02000903,3,93.4,435.38314017948665
3,1,4,2,1,0,2,0,3,09000012,02000352,6,75.8,208.14378627049157
6,3,10,0,2,0,2,1,2,09000024,02000691,7,85.6,312.9498368512396
8,4,8,2,2,6,2,0,0,09000014,02000432,4,92.80000000000001,298.0391837454543
10,3,9,2,1,2,2,1,0,09000005,02000094,5,74.5,388.13080431382934
4,1,8,1,2,0,5,0,5,09000033,02000972,6,38.4,336.07707946133525
4,3,8,1,2,0,2,1,3,09000012,02000351,3,87.6,224.59069157894692
2,4,8,0,2,0,8,0,0,09000030,02000877,3,68.7,210.63393357534204
5,4,7,2,2,8,1,3,3,09000033,02000980,3,48.199999999999996,248.35749090497694
2,4,6,2,2,7,5,3,3,09000030,02000872,3,49.3,165.0903548520707
7,2,4,2,2,3,6,2,1,09000006,02006782,7,91.7,336.13718028124936
9,2,3,1,2,8,5,3,1,09000029,02000856,10,88,525.2892356069358
10,1,7,1,1,0,3,0,4,09000024,02000711,4,93.89999999999999,243.28540964900597
12,1,9,0,2,0,4,0,0,09000006,02000165,9,95.19999999999999,1245.2675339738519
5,1,6,2,2,0,5,0,5,09000022,02000635,6,86.2,238.46563394088605
5,1,8,1,2,0,5,1,5,09000027,02000801,9,87.1,408.611991578231
9,4,3,2,2,3,2,4,2,09000014,02000432,3,92.80000000000001,298.0391837454543
4,1,7,0,1,1,2,0,5,09000028,02000818,2,77.7,166.8381638378371
2,1,8,2,1,0,2,0,0,09000030,02000889,9,57.49999999999999,167.3391425735846
4,1,9,0,2,0,5,0,5,09000033,02000981,4,89.8,438.81668114406733
4,1,8,0,2,1,5,0,3,09000031,02000912,3,97,264.3067566611567
4,3,9,2,1,0,2,1,5,09000021,02000602,7,67,902.9186947058814
12,1,8,0,2,0,4,0,4,09000011,02000319,4,83.1,488.51100433557036
5,1,8,0,2,0,5,0,5,09000021,02000608,5,78.2,388.92704243181794
10,4,8,0,2,5,5,1,0,09000022,02000619,6,56.99999999999999,129.15278931281992
6,1,8,1,2,4,5,2,4,09000031,02000896,8,87.9,524.8764542191009
6,1,7,1,2,0,2,0,4,09000012,02000364,4,82.19999999999999,250.17565115492943
3,4,4,2,2,0,2,0,2,09000033,02000966,5,83.3,419.5143041788078
11,1,9,0,1,0,4,0,5,09000027,02000786,10,82.89999999999999,240.10912097590324
2,1,8,1,2,0,2,1,2,09000008,02000200,3,82,265.07205042675133
9,4,2,2,1,7,4,1,1,09000011,02000319,4,83.1,488.51100433557036
5,1,8,0,2,0,5,0,5,09000014,02000408,4,88.3,241.8248561297706
11,4,7,2,2,0,4,0,1,09000020,02000592,7,85.7,622.7552682564099
9,2,8,0,1,0,4,0,0,09000010,02000304,9,95.89999999999999,282.67684097916623
11,1,9,0,2,0,4,0,4,09000007,02000179,7,55.00000000000001,278.7920197119998
5,4,9,2,2,0,4,0,4,09000007,02000182,4,51.4,578.5387154011295
5,4,4,2,0,9,2,1,0,09000033,02000966,6,83.3,419.5143041788078
5,1,9,0,2,0,5,0,5,09000007,02000180,7,70.39999999999999,204.7044496687891
12,1,9,1,2,0,4,0,0,09000003,02000056,9,83.7,410.33278985507246
3,4,8,0,2,0,2,0,4,09000010,02000305,6,92.30000000000001,794.3239035460966
8,2,4,0,1,0,1,1,4,09000007,02000186,6,57.699999999999996,235.5808183097343
2,3,4,2,2,9,6,6,0,09000014,02000428,3,79.80000000000001,295.7323767636358
