msoa_code,green_space_pct,park_distance_m
E02000324,76.4,266.11836795081945
E02000326,86.7,620.0175105714283
E02000327,85.9,387.7488934062497
E02000328,86.3,271.6682936962956
E02000329,96.89999999999999,276.6777474814814
E02000331,87.2,186.67497244217665
E02000332,92.4,330.2715122406008
E02000333,86.2,311.3581666015031
E02000334,88.8,397.96182587499953
E02000335,98.8,432.6289297019227
E02000337,91.60000000000001,503.8288407898548
E02000339,87.2,735.872048632478
E02000340,80.9,516.2722582261902
E02000341,90.0,478.52701029508154
E02000342,86.7,340.0225798979588
E02000343,91.60000000000001,546.7137295396798
E02000344,94.39999999999999,483.7396116363633
E02000345,74.0,324.26823319491496
E02000346,62.8,292.73097460624984
E02000347,77.3,304.0275507009343
E02000348,55.50000000000001,241.126716372881
E02000350,87.4,317.7886265365849
E02000351,87.6,224.59069157894692
E02000352,75.8,208.14378627049157
E02000353,78.10000000000001,221.62259123287654
E02000354,82.1,273.1457848954243
E02000355,90.5,330.4398557586202
E02000356,78.8,233.5163089057966
E02000357,84.8,504.5520961685388
E02000358,69.69999999999999,225.55751835135115
E02000359,93.7,557.0235265176467
E02000360,63.2,217.52377372352905
E02000361,62.8,178.12344532283433
E02000362,81.6,280.39498634899286
E02000363,64.5,269.89128388304056
E02000364,82.19999999999999,250.17565115492943
E02000365,65.7,302.35413115511517
E02000366,87.0,179.27132450819613
E02000367,68.60000000000001,176.26860725842647
E02000368,71.5,148.08162636585334
E02000369,48.9,176.6483452802764
E02000370,50.2,193.33776614792876
E02000371,29.9,320.03870264487585
E02000372,85.2,356.1693011234037
E02000373,76.4,187.73021809302287
E02000374,92.4,244.88685063736193
E02000375,81.10000000000001,225.77252947058747
E02000376,86.4,281.07855453061177
E02000377,82.1,281.6281132118639
E02000378,85.5,234.42398489795912
E02000379,71.39999999999999,162.40073900826425
E02000380,90.60000000000001,352.84493527472495
E02000381,92.4,258.73356242741875
E02000382,82.1,157.47151672826055
E02000383,74.4,195.0558594575158
E02000384,68.89999999999999,334.073055056521
E02000385,92.0,280.71129210784244
E02000386,77.9,250.12920547794087
E02000387,66.5,411.0264496199996
E02000388,79.60000000000001,312.27774304522575
E02000389,87.4,720.1280590070919
E02000390,88.2,388.18737390076285
E02000391,85.6,179.89128972946824
E02000392,81.89999999999999,400.30853651612847
E02000393,95.5,324.8883607169803
E02000394,66.0,294.2263877234039
E02000395,77.2,331.58303431137693
E02000396,71.6,497.91854739130383
E02000397,80.4,165.89404871945646
E02000398,86.6,671.4603547999999
E02000400,71.8,171.03807143978995
E02000401,93.7,429.3629249230763
E02000402,81.69999999999999,366.64088088349473
E02000403,93.60000000000001,163.49756623076868
E02000404,73.8,246.15585895575154
E02000405,95.0,295.2547316874997
E02000406,94.5,358.2562765476185
E02000407,90.7,284.57518858490533
E02000408,88.3,241.8248561297706
E02000409,58.199999999999996,130.65318270270262
E02000410,78.4,561.72436036036
E02000411,82.19999999999999,288.5948052689651
E02000412,77.0,308.6802522074068
E02000413,90.9,431.9664867054792
E02000414,98.2,248.11167867032927
E02000415,92.9,176.84403951999948
E02000416,68.5,249.69184725874078
E02000417,90.60000000000001,411.98585404761855
E02000418,87.2,180.04374193684174
E02000419,80.5,245.22403665789412
E02000420,77.3,278.9395101461536
E02000421,76.6,186.36484583333262
E02000422,84.8,363.88734276635444
E02000423,89.4,346.12846874157253
E02000424,89.9,241.94063635643528
E02000425,94.39999999999999,440.8991517171711
E02000426,82.3,438.8981968218387
E02000427,90.8,213.36144440594006
E02000428,79.80000000000001,295.7323767636358
E02000429,86.3,419.1373611768702
E02000430,83.5,478.9911174496639
E02000431,88.0,425.9581140959993
E02000432,92.80000000000001,298.0391837454543
E02000433,70.8,423.2980351489357
E02000434,77.3,242.91180308018843
E02000435,89.2,726.1007621428556
E02000436,95.19999999999999,1188.0048936912724
E02000437,88.0,783.5892634730532
E02000438,82.69999999999999,1320.024686739129
E02000439,83.6,662.9609096874995
E02000440,96.2,523.4288407588231
E02000441,81.69999999999999,685.4587066772144
E02000442,97.1,879.1088504424748
E02000443,91.4,568.4796682822081
E02000444,94.0,365.1317189495797
E02000445,84.89999999999999,862.4856546774188
E02000447,90.9,1120.675597777773
E02000448,75.9,259.4974507555552
E02000449,93.89999999999999,674.7629060869558
E02000451,92.4,506.36536560714234
E02000452,86.5,951.9884099404741
E02000453,81.5,971.8237913636326
E02000454,96.3,301.92493742335705
E02000455,60.699999999999996,581.1251651350204
E02000456,92.4,846.074786355138
E02000457,82.89999999999999,651.0084435378786
E02000459,75.0,882.7319939743585
E02000460,88.1,427.37619483571353
E02000461,67.10000000000001,695.2107901135131
E02000462,92.30000000000001,296.7487686730766
E02000463,92.0,446.4757739363634
E02000464,89.9,624.0791949999996
E02000465,93.7,257.58703919999937
E02000466,95.1,315.2874365620908
E02000467,93.7,557.6200614999997
E02000468,97.6,618.8234725220121
E02000469,87.0,444.83585502608645
E02000470,92.9,266.1615027475242
E02000471,98.3,310.0044522727267
E02000472,95.39999999999999,657.5483001351346
E02000473,91.7,379.6118970462424
E02000474,90.10000000000001,459.3754147453414
E02000475,74.0,379.05781504838654
E02000476,62.2,315.49705905508455
E02000477,95.19999999999999,458.8173711066662
E02000478,93.2,460.19758141406237
E02000479,78.3,515.0544969005844
