Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,Housing_tenure_group_code,Income_Code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
1,8,3,4,3,2,2,3,1,4,56.7,296.8690482,64.10579525
2,2,8,5,7,0,2,4,5,6,69.3,586.4488115,71.52628694
1,2,9,4,6,1,2,1,3,3,65.3,216.8174914,107.0192611
2,3,8,5,7,2,2,2,3,7,69.2,540.8561438,92.56137265
1,2,3,3,6,2,1,6,5,3,89.2,340.7671215,107.0192611
1,5,12,1,8,0,2,4,3,8,87.5,414.0255496,64.7356604
1,9,4,5,9,2,2,2,1,6,91.9,443.9357978,59.12433069
1,3,5,5,8,2,2,4,4,3,93.4,205.8874095,82.92437534
1,4,7,5,4,0,1,4,2,7,95.2,722.9293734,61.22939836
1,9,4,6,8,2,2,2,3,2,65.3,216.8174914,107.0192611
1,2,4,1,3,1,1,5,4,4,90.1,466.077237,64.46313682
1,2,5,2,8,2,2,0,0,6,89.5,243.8631174,64.7356604
1,7,4,5,6,2,2,1,1,2,20.8,191.5685459,161.7785752
1,2,5,5,3,1,2,5,0,3,69.6,203.7924603,112.8953553
1,2,4,5,9,1,2,5,5,6,77.0,479.5016372,75.01260027
1,2,3,3,7,2,1,2,0,5,87.2,211.0273131,82.92437534
1,3,9,2,9,1,2,4,5,8,89.6,917.0347845,69.34413948
1,3,3,3,8,0,2,2,3,3,86.0,377.2491965,127.4397297
1,9,4,2,5,2,1,3,0,2,57.7,235.5808183,161.7785752
1,2,2,3,8,2,2,2,2,4,81.2,313.0249985,89.33622132
1,3,6,1,5,0,1,5,5,8,87.0,374.2086874,75.01260027
1,2,3,3,8,0,2,2,5,4,29.9,320.0387026,121.6670744
1,8,4,5,3,2,0,5,0,3,82.7,496.9941142,92.56137265
1,2,4,4,6,2,2,3,2,2,77.0,308.6802522,110.3108459
1,4,5,6,7,2,1,5,2,5,47.0,358.4976159,87.80214462
1,2,5,1,7,2,2,4,4,3,76.9,287.6973546,85.64933259
1,2,6,4,6,2,2,5,3,10,69.4,333.1562427,69.34413948
1,3,8,5,8,0,2,0,2,4,93.6,163.4975662,110.3108459
1,2,6,5,5,0,1,1,3,3,67.0,441.4519395,102.9492058
1,2,3,4,4,2,2,5,5,6,78.6,415.670398,71.52628694
1,8,6,4,8,2,1,1,1,4,71.8,171.0380714,110.3108459
1,4,5,1,7,1,0,2,2,2,42.2,285.2304662,106.554188
1,6,2,3,9,2,2,2,1,4,87.5,271.3382244,372.933205
1,2,3,1,4,2,1,2,3,6,75.8,208.1437863,121.6670744
1,2,7,1,8,0,2,1,0,5,97.8,559.3450235,73.74327005
2,2,6,4,10,0,1,5,1,3,92.4,423.6518216,102.9492058
0,3,5,3,7,2,2,2,3,4,85.2,356.1693011,113.5974039
1,3,5,5,8,2,2,5,5,8,88.1,442.0001258,107.0192611
2,2,3,4,9,0,2,8,1,6,83.4,430.4022766,144.3589814
1,5,11,4,8,0,2,4,4,5,86.3,271.6682937,96.79696038
1,5,9,2,4,0,2,5,2,6,83.5,478.9911174,110.3108459
2,2,5,1,5,1,1,2,5,7,81.5,971.8237914,61.22939836
2,7,3,3,4,2,2,6,0,2,77.1,408.696074,96.79696038
1,2,7,5,10,0,2,5,0,6,88.0,425.9581141,110.3108459
2,3,4,1,5,1,2,2,2,2,86.2,238.4656339,107.0192611
1,6,3,3,8,1,1,2,2,7,87.4,720.128059,113.5974039
2,4,9,4,7,2,2,2,1,3,82.7,451.5522029,89.33622132
1,2,4,3,8,2,2,2,0,2,84.7,207.7980538,93.94595065
1,2,10,1,8,2,2,4,3,10,95.6,422.6251898,69.34413948
1,2,4,3,7,2,2,2,4,2,42.2,285.2304662,106.554188
1,8,8,6,5,2,2,3,1,7,80.9,359.0418989,93.94595065
1,2,7,5,9,2,2,2,4,10,82.9,651.0084435,61.22939836
1,3,5,5,10,0,2,5,0,4,82.1,348.0206338,71.52628694
1,7,2,6,7,2,2,3,1,3,65.8,465.2893145,64.46313682
1,9,4,5,7,2,2,4,1,1,82.4,304.0914946,64.10579525
1,3,3,1,7,2,2,2,1,7,82.5,236.0967296,71.52628694
1,2,6,3,9,1,2,4,4,5,85.5,234.4239849,113.5974039
2,2,5,5,2,0,1,5,5,10,82.9,240.109121,59.12433069
2,8,2,3,5,2,1,3,1,2,71.5,148.0816264,121.6670744
1,7,5,1,5,2,2,2,0,2,94.7,199.5284734,93.94595065
2,3,5,4,9,1,1,2,4,4,70.6,150.3721995,112.8953553
1,9,3,5,10,1,1,3,3,8,78.3,601.652503,85.64933259
2,2,5,1,8,0,2,5,5,5,78.2,388.9270424,73.10062573
1,2,3,3,8,2,1,2,0,3,93.7,557.0235265,121.6670744
1,2,2,1,8,0,1,2,4,8,86.3,419.1373612,110.3108459
1,5,10,4,6,2,1,2,3,8,65.6,445.4240359,87.80214462
1,2,2,6,6,2,1,3,2,3,62.8,178.1234453,121.6670744
2,2,8,4,6,1,1,3,2,6,90.6,699.9594317,82.92437534
